year	month	ABC	CCU	DAR	DECK	EPC	JBSS	KO	LEXR	LTRE	MED	MGPI	MIDD	MTEX	MVL	PPC	REV	SUP	SWY	TEN	USNA	ANDE	CHE	F	JAH	NATR	NLS	SBUX	SEB	SPTN	STKL	TAP	TIVO	TOM	VC	CL	MNST	MTH	PTRY	TPX	TRW	TSCO	BID	CRI	ELY	EXPE	FDP	KCP	NAFC	RDEN	SNMX	DPZ	JNJ	OATS	RAI	SXT	WBD	HLF	JAKK	MCK	SKX	VGR	CAA	MOD	NTRI	PBH	CTB	LEA	THS	GT	ICON	TUP	ARDNA	CQB	IMKTA	SEED	ADY	CROX	GRMN	JSDA	WWW	AMZN	BG	BZH	COKE	PAS	RCII	SAM	CENTA	TBL	TR	BARE	FACE	HBI	SUSS	WINN	HOG	IBA	WRC	BGS	ALCO	G	KTII	OME	WBC	ETP	ADM	DAN	HOGS	PNRA	SMG	BC	ATVI	AXL	STMP	DL	FLO	SENEA	CHBT	BRFS	CZZ	GM	PRGO	SVM	CSKI	DOLE	FOSL	LO	DPS	JNY	FARM	MDC	CLX	PRMW	SPB	TTWO	IPAR	SODA	TSLA	WFM	INGR	URI	BTH	CHEF	EA	ZNGA	RNDY	HSH	CG	PEP	RGS	SYY	LFVN	NGVC	WWAV	BDBD	LKQ	PF	CSG	COTY	ENZY	POST	SFM	VFC	ESI	CPG	FGL	MJN	ABEV	GPRO	SC	WES	KATE	NHTC	DPLO	PFGC	FRPT	SFS	VSTO	BETR	BLD	ENR	KHC	NOMD	UAA	RRR	TPB	USFD	ELF	ADNT	TWNK	NBEV	WOW	CELH	ROKU	APTV	DLPH	CRON	HFFG	VNE	WMK	CPRI	EL	PM
2007	9						-0.018723008544469896							-1.2160230249424072e-05		0.203468993174316					1.4494085564562654e-07								0.20004164709913844	0.14033199881276925		-0.42216229450499915			0.044176007047707515							1.1716646373278653e-05								-0.18890074176217694			0.15535890288460102								-1.807661706925999e-05				0.04895510269206049				-0.38490170586879285				0.2192738075709798				-0.15278700515890314	0.10126093640196947	0.15110967469902958	1.3967136226687602e-06	0.40346798240833853																																																																																																																											
2007	12						-0.03349530845799685				-0.013733356148956061			2.2823786231320055e-07							1.4594881781151512e-06												-0.02368570013637531						-0.0004351900773224372	0.11057873787124772		-0.0218035410756031											-1.7673518901430666e-06											2.9575510828984754e-06														0.025669194262438178	0.12300452782689893	-1.414731314027394e-08		0.03958487881290077	0.21843113614309762	-0.07570010004616856	0.0061572955665166245	0.13583290410026067	-0.11780990930813881	0.12740108612224643																																																																																																																				
2008	3			0.17242417972620647							0.06666241562810725										0.0019265878463974925	0.1302177767320046		5.347408307118775e-05							0.19231256178814976				6.498141928160216e-05											0.06858327716400303											0.37745955768655903							-0.007758668133431383	2.040040001906808e-06				-0.030158269633710256		0.37641873828791483					-0.5000722885806473	3.997270042133425e-06	0.06939778870606098		9.623581610557803e-06									-0.3811827184948899	-0.0363384373615344	1.3186659927472605e-05																																																																																																																	
2008	6			0.1451875625738022								-0.07570198495975898		-0.03392887083042278																0.05936473114276966		0.2023856581429129																			-6.574765009473044e-07						0.22681127401120113	0.030623694984681253								6.332044505126142e-08			-0.1258885482844411		-9.867620783172246e-08						-0.07739853763352376	-6.197605803101657e-08		3.835014438048775e-08									-4.334084111278863e-08			-0.008690257733399312	-8.608126860505552e-08	-1.6262998782983606e-07	-2.8214137658631814e-07	0.15723580249199282																																																																																																												
2008	9										0.030419774201238838																3.969827091601498e-07						0.02936739522102227													0.036484429982467016	0.11730368887170951				2.1257323397665996e-07							0.28921736583140656								-8.590617694595654e-08			7.356624491242455e-07		0.11883104869937788					-0.2250677206461433		-2.735509639692084e-07	0.10343992143402464														1.5308217192898199e-06	0.5000009414602755	3.14674296793528e-07	-3.77675502369153e-08	1.5371652797412445e-08	-2.0265954425618398e-07	-0.49999948838890124																																																																																																									
2008	12										0.09077747629130913	-0.05068512990228055									0.0661971344694531										0.09617199688306644	0.3786732177822428	0.06233504478777687							-0.05430405565859092	0.1910920745440558	0.29425907399677076																								0.28045044000488273				-0.020842816446207026	-0.030230989967979408					2.2021159362770445e-07		-0.08159719083948956											1.360658057323494e-07			-0.4999995944789782		-2.1770031674384237e-07		-1.0591065871081646e-07		-0.2222967958594032		2.2722381270995983e-07																																																																																																								
2009	3			0.15367409883165598										-0.07267455804621462																		0.29366095132316083							4.855187686696553e-06	-1.0692370868624974e-06	-0.23019947680756228									-0.09666654944751661		-0.5000056293554933					0.15234901294322306							-0.2156924947872316		-4.3947900719819e-06																	0.2917549545852882						-0.1456897684859457				-7.249892462476002e-06		-0.022619381607431537						-1.0466861656653075e-06	9.455626956866789e-06	0.49999495845537645	0.09150019340547257	0.30061827128634444																																																																																																			
2009	6									-8.718052975577708e-07				0.02104374822863635						-7.590219168368592e-06	0.02700264733711947																		0.04148860551459396			0.1385466131381692							0.08419223199420318	8.498023747149596e-06											0.009982984110186856															-0.014263657346307784	2.7233871907567663e-06	-0.03475292938569719		-2.4242474597001192e-06			-8.894343696924274e-06						9.76467051547723e-07						-0.01763648129668649	0.16031928291624445					0.5000043277543744	5.401374818644836e-07				-0.4159139278124585																																																																																																		
2009	9											1.8678434345178587e-07								8.751012672764139e-08			-3.736548804872775e-07									-0.098735710170627									-1.5032579302293427e-07						-0.025956688943498597											0.05152157293675367																		0.1829751399243477		0.024898928575101596		0.11824542170911254					-1.0949911411825051e-07							-5.705804277324889e-07			-7.968990864710637e-07			0.5000003126966677			-0.1949529239681344						-4.628117775395047e-07	0.44200633040850545	-0.5000002680892494	-3.6617061962086416e-07	-3.5141644903046194e-07																																																																																													
2009	12										0.041441611820097826	0.004632214778696361								0.0003740947228826608													0.11528801782301049						0.08810786417292192	0.21834488241964953	0.02530703944302984							-0.061010630650408036			-0.11341759588908158	-2.3607758781037842e-08						0.11212994727015681																			0.11490896950259571			5.841112878216972e-09			-1.694323307992724e-07										-0.499999874553299								0.5000004885063052	-0.04610740426202458						2.1963991155393866e-08	3.589484121664143e-07			-2.4686663180878737e-08																																																																																												
