year	month	ABC	CCU	DAR	DECK	EPC	JBSS	KO	LEXR	LTRE	MED	MGPI	MIDD	MTEX	MVL	PPC	REV	SUP	SWY	TEN	USNA	ANDE	CHE	F	JAH	NATR	NLS	SBUX	SEB	SPTN	STKL	TAP	TIVO	TOM	VC	CL	MNST	MTH	PTRY	TPX	TRW	TSCO	BID	CRI	ELY	EXPE	FDP	KCP	NAFC	RDEN	SNMX	DPZ	JNJ	OATS	RAI	SXT	WBD	HLF	JAKK	MCK	SKX	VGR	CAA	MOD	NTRI	PBH	CTB	LEA	THS	GT	ICON	TUP	ARDNA	CQB	IMKTA	SEED	ADY	CROX	GRMN	JSDA	WWW	AMZN	BG	BZH	COKE	PAS	RCII	SAM	CENTA	TBL	TR	BARE	FACE	HBI	SUSS	WINN	HOG	IBA	WRC	BGS	ALCO	G	KTII	OME	WBC	ETP	ADM	DAN	HOGS	PNRA	SMG	BC	ATVI	AXL	STMP	DL	FLO	SENEA	CHBT	BRFS	CZZ	GM	PRGO	SVM	CSKI	DOLE	FOSL	LO	DPS	JNY	FARM	MDC	CLX	PRMW	SPB	TTWO	IPAR	SODA	TSLA	WFM	INGR	URI	BTH	CHEF	EA	ZNGA	RNDY	HSH	CG	PEP	RGS	SYY	LFVN	NGVC	WWAV	BDBD	LKQ	PF	CSG	COTY	ENZY	POST	SFM	VFC	ESI	CPG	FGL	MJN	ABEV	GPRO	SC	WES	KATE	NHTC	DPLO	PFGC	FRPT	SFS	VSTO	BETR	BLD	ENR	KHC	NOMD	UAA	RRR	TPB	USFD	ELF	ADNT	TWNK	NBEV	WOW	CELH	ROKU	APTV	DLPH	CRON	HFFG	VNE	WMK	CPRI	EL	PM
2008	6			0.23138489864613607								-0.4144793714238782		-0.08618634616066834																0.07674756297310066		-2.9112622120842003e-05																			-3.112578544689096e-05						0.3837872126676386	-2.6736793789003234e-05								-6.3079130917894274e-06			-0.4999638148826501		-0.22835738084681903						-0.22517728115046318	2.911388480417826e-06		-1.061327747396446e-06									-1.1163551735334115e-05			-0.23760745046780832	2.6337955326748354e-06	-9.792650249678803e-06	8.10982920724663e-06	0.4999882204190005																																																																																																												
2008	9										0.012501662467357524																2.4998585505881334e-07						2.549765589482607e-07													0.0064123129960205315	0.008151640897159196				9.898865445149429e-08							0.01947805058998734								4.048973307504449e-07			4.53441109025908e-07		-2.740156849354463e-07					-0.3893620145507477		-5.83184947755184e-08	0.007631178529071527														1.1060491638423023e-06	0.2204846085689356	-1.0372644134251667e-07	-1.3886220689005102e-07	1.7353844789921908e-07	-1.727148415846917e-07	-0.38529883325535674																																																																																																									
2008	12										0.07362708400859211	-0.05316384603079774									0.09324503173673412										0.049279240855154845	0.25644827747296717	0.017013670490063408							-0.1391814012574071	0.15817532905153855	0.3413906596935854																								0.08481764957269056				-0.09910469630100355	-0.14770698599387827					9.791001824066138e-07		-0.11434882045891989											1.298094573853965e-07			-0.5000000188566558		-0.020493512348789298		-6.326458458033931e-07		-0.49999983603835463		3.6446212352274824e-08																																																																																																								
2009	3			0.08431437845892638										-0.06891708621899827																		3.956822625049679e-06							-4.9416891533101e-07	-1.0589622599534494e-06	-0.18719865144589926									-0.08368772921706968		-0.45233818966828426					0.10372323754286443							-0.1526399190994398		2.3444818129499447e-06																	0.13470103677614073						-0.1976137339631339				4.2873316665266557e-07		-0.21424885078486502						-3.88767373818786e-06	9.827467760999755e-06	0.500004547021408	0.03388221955118933	6.113375830476626e-07																																																																																																			
2009	6									2.328568631415884e-07				-4.6461383493723224e-08						4.951689045002087e-07	-2.7314463271987753e-08																		3.64259872315219e-07			5.964775365944664e-07							5.965661849856411e-07	1.0679909042676531e-06											5.164639455789775e-07															-0.03396616147902587	1.4832537466861174e-07	-0.018722973059052475		-5.240791833689175e-08			1.5089381535066075e-07						1.276611250553298e-07						-0.025888897133155155	9.932631815141935e-07					0.13687118808729112	-0.058297520142211574				-0.5000001754658635																																																																																																		
2009	9											6.502772252077719e-08								9.924697566318123e-08			-0.07859042475379996									-0.08659951346784414									-5.598622783033938e-08						-0.0798390622266458											0.03832410290236652																		0.025896088078213777		0.01711450218381221		0.02779946027665261					-1.3966207185227316e-07							-2.75552069665132e-08			-0.020342650005400247			0.18753182547898253			-0.2595014940245445						-1.6052145378215445e-07	0.32132862699356346	-0.4983215275966231	-0.06310491532595898	-0.03169522398027727																																																																																													
2009	12										0.03561629973967948	0.0298233703233122								0.017842156985183155													0.00166349486416775						0.0068102318604973825	0.1322903390938692	0.0505328772369601							-0.10036668851513841			-8.843394087704977e-08	-0.009805291962456403						0.07329888345087285																			0.02964661932181876			-0.011023964859480696			-8.759844608701235e-07										-0.4999997772944873								1.7013541106008237e-08	-0.15937391022746905						-8.675929482606153e-08	-0.09695343515531948			-4.2615650882478656e-07																																																																																												
2010	3										0.01879977747093464	0.0050176019762969955				-0.08555308916354973	0.02654788943848788		-0.12859681999402817	0.002909836876396136																					0.007821690298096592																							-6.985181365246995e-06				-0.15643187401547232										-1.44189722677578e-05		-0.010546653009956174			-0.01898718222178243	2.6642921346693246e-07	-7.730441999336902e-06		-0.08914731502221479								-0.04386638554377637													0.08923899651678806					-0.053052665474535195	-1.6833543703072937e-05	-0.06412121721370016																																																																																									
2010	6											-5.920429831455367e-07					-7.180342390955754e-07			-3.9596389907934816e-07	0.041003898496888624						-0.18307547046217992			1.1305899988901217e-06		0.14512158124204522									-7.020510109340653e-07									-0.49999931754634735														-0.18730221966590765				-0.4999993922113421									0.05548719088771343			0.023327383581926354				-0.046359641654374485					0.0119129332608353																	-3.760428728109573e-06		0.17075839744174937						-0.030870169905760088		0.4999984974452148	1.9107738623685517e-07																																																																																							
2010	9											0.054250943956045225					0.09769416950261596			0.03404808721080137												-0.01782604511455134									0.08576268513001054																							0.1510267696418002													1.0389045811451015e-06	0.06024738657430185		-0.008067331111053332				-3.9053039645657797e-07											-2.5097953921092015e-06	-0.3664237591858936					-0.3816133637031197						-5.370591536171936e-06	0.08916148908217465				2.9250072832115497e-06		0.00437369080972701	-0.12509063059851783	-0.17752421846321298		-5.229234013108738e-06																																																																																						
