"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 07","278.51","271.80","285.42","269.23","4.18B","2.47%"
"Jul 07","271.80","278.44","285.16","270.88","3.61B","-2.38%"
"Jun 07","278.44","284.69","287.19","275.55","3.72B","-2.20%"
"May 07","284.69","281.34","286.05","277.68","3.70B","1.19%"
"Apr 07","281.34","272.68","284.18","272.68","3.49B","3.18%"
"Mar 07","272.68","268.63","274.13","261.33","3.68B","1.51%"
"Feb 07","268.63","273.35","276.69","264.07","2.55B","-1.73%"
"Jan 07","273.35","268.38","274.26","267.84","2.60B","1.84%"
"Dec 06","268.41","262.66","270.16","260.24","2.26B","2.19%"
"Nov 06","262.66","265.52","266.03","260.25","2.93B","-1.08%"
"Oct 06","265.52","260.75","267.64","258.44","2.99B","1.83%"
"Sep 06","260.75","261.67","264.58","259.08","2.31B","-0.35%"
"Aug 06","261.67","252.59","262.43","250.52","2.23B","3.59%"
"Jul 06","252.59","248.12","254.43","245.95","2.17B","1.80%"
"Jun 06","248.12","245.19","250.36","240.34","2.39B","1.19%"
"May 06","245.19","244.01","248.60","241.15","2.64B","0.48%"
"Apr 06","244.01","242.52","244.65","237.33","1.96B","0.61%"
"Mar 06","242.52","242.07","248.54","241.05","2.32B","0.19%"
"Feb 06","242.07","239.75","245.64","236.78","1.98B","0.97%"
"Jan 06","239.75","240.17","243.42","238.17","2.34B","-0.17%"
"Dec 05","240.17","241.15","247.64","239.49","2.03B","-0.41%"
"Nov 05","241.15","239.43","244.96","237.25","1.93B","0.72%"
"Oct 05","239.43","240.47","241.18","232.68","2.32B","-0.43%"
"Sep 05","240.47","237.75","241.41","231.28","2.73B","1.14%"
"Aug 05","237.75","241.50","242.19","234.85","1.98B","-1.55%"
"Jul 05","241.50","234.24","243.33","232.23","1.76B","2.95%"
"Jun 05","234.58","239.02","242.08","233.51","1.89B","-2.11%"
"May 05","239.63","234.32","242.92","234.03","1.72B","2.04%"
"Apr 05","234.84","237.16","239.25","231.12","2.10B","-1.06%"
"Mar 05","237.36","239.79","244.23","234.58","2.12B","-1.01%"
"Feb 05","239.79","239.57","243.86","237.08","1.81B","0.09%"
"Jan 05","239.57","236.99","241.82","234.55","1.82B","1.09%"
"Dec 04","236.99","228.41","238.27","228.41","1.79B","3.76%"
"Nov 04","228.41","222.04","235.64","221.12","1.86B","2.87%"
"Oct 04","222.04","220.74","224.40","215.63","1.79B","0.59%"
"Sep 04","220.74","227.48","231.65","217.87","1.83B","-2.96%"
"Aug 04","227.48","223.29","228.71","220.05","1.56B","1.88%"
"Jul 04","223.29","234.95","235.84","222.03","1.68B","-4.97%"
"Jun 04","234.96","234.42","239.77","232.74","1.67B","0.23%"
"May 04","234.43","237.62","239.45","228.37","1.65B","-1.34%"
"Apr 04","237.62","234.99","240.05","232.92","1.64B","1.12%"
"Mar 04","234.99","236.37","239.45","227.91","1.84B","-0.58%"
"Feb 04","236.37","223.85","237.34","223.62","1.62B","5.67%"
"Jan 04","223.69","223.59","225.16","219.27","-","0.09%"
"Dec 03","223.50","219.96","223.50","217.25","-","1.66%"
"Nov 03","219.85","218.00","220.80","215.16","-","0.84%"
"Oct 03","218.01","208.18","218.35","208.17","-","4.83%"
"Sep 03","207.96","208.88","212.92","206.99","-","-0.48%"
"Aug 03","208.96","205.00","209.13","201.52","65.59M","1.92%"
"Jul 03","205.02","206.33","211.11","203.57","1.43B","-0.70%"
"Jun 03","206.47","205.00","212.16","205.00","1.40B","0.73%"
"May 03","204.97","195.81","206.11","192.69","1.57B","4.71%"
"Apr 03","195.75","190.25","198.06","188.84","1.39B","2.89%"
"Mar 03","190.25","191.61","199.47","182.56","1.46B","-0.59%"
"Feb 03","191.38","197.12","199.44","189.46","1.03B","-2.90%"
"Jan 03","197.10","204.67","211.81","192.34","1.19B","-3.68%"
"Dec 02","204.62","204.19","209.04","201.72","1.18B","0.23%"
"Nov 02","204.15","210.08","212.98","200.61","1.28B","-3.02%"
"Oct 02","210.51","203.68","218.83","203.65","1.69B","3.43%"
"Sep 02","203.53","219.32","222.74","200.33","1.32B","-7.50%"
"Aug 02","220.03","217.82","228.49","212.24","1.22B","0.96%"
"Jul 02","217.94","228.51","232.14","191.66","1.77B","-4.63%"
"Jun 02","228.52","243.33","244.34","224.26","1.33B","-6.10%"
"May 02","243.36","241.41","247.40","238.68","1.06B","0.82%"
"Apr 02","241.38","236.74","244.07","234.22","1.08B","1.85%"
"Mar 02","236.99","229.76","237.79","226.38","1.02B","3.28%"
"Feb 02","229.47","220.75","231.99","217.69","968.81M","3.99%"
"Jan 02","220.67","218.16","220.67","213.72","1.13B","1.04%"
"Dec 01","218.39","216.92","222.24","211.04","1.00B","0.50%"
"Nov 01","217.31","215.83","220.99","214.66","-","2.17%"
"Oct 01","212.70","213.43","217.12","210.16","-","-0.63%"
"Sep 01","214.05","221.22","223.64","204.42","-","-2.05%"
"Aug 01","218.53","208.31","221.84","208.25","-","4.05%"
"Jul 01","210.02","210.59","211.02","206.45","-","0.70%"
"Jun 01","208.55","215.51","216.34","206.25","-","-3.29%"
"May 01","215.65","216.91","218.97","212.99","-","1.79%"
"Apr 01","211.85","212.89","213.22","203.93","-","-0.91%"
"Mar 01","213.79","224.41","228.14","206.22","-","-5.31%"
"Feb 01","225.77","226.10","232.97","223.79","-","1.19%"
"Jan 01","223.12","237.06","237.06","215.97","-","-6.31%"
"Dec 00","238.15","238.15","238.15","238.15","-","3.66%"
"Nov 00","229.74","229.74","229.74","229.74","-","4.41%"
"Oct 00","220.03","220.03","220.03","220.03","-","11.56%"
"Sep 00","197.23","197.23","197.23","197.23","-","4.34%"
"Aug 00","189.03","189.03","189.03","189.03","-","-1.47%"
"Jul 00","191.85","191.85","191.85","191.85","-","-1.09%"
"Jun 00","193.96","193.96","193.96","193.96","-","0.85%"
"May 00","192.32","192.32","192.32","192.32","-","9.44%"
"Apr 00","175.73","175.73","175.73","175.73","-","2.44%"
"Mar 00","171.55","171.55","171.55","171.55","-","-1.41%"
"Feb 00","174.01","174.01","174.01","174.01","-","-10.24%"
"Jan 00","193.87","193.87","193.87","193.87","-","-6.82%"
