"Date","Price","Open","High","Low","Change %"
"Jun 13","0.035","0.048","0.066","0.033","-7.89%"
"May 13","0.038","0.056","0.058","0.028","-25.49%"
"Apr 13","0.051","0.079","0.094","0.048","-28.17%"
"Mar 13","0.071","0.106","0.112","0.061","-33.02%"
"Feb 13","0.106","0.069","0.132","0.058","34.18%"
"Jan 13","0.079","0.046","0.089","0.035","71.74%"
"Dec 12","0.046","0.081","0.106","0.008","-43.21%"
"Nov 12","0.081","0.099","0.117","0.073","-28.95%"
"Oct 12","0.114","0.086","0.132","0.086","21.28%"
"Sep 12","0.094","0.091","0.119","0.086","3.30%"
"Aug 12","0.091","0.096","0.119","0.079","-14.15%"
"Jul 12","0.106","0.101","0.117","0.073","23.26%"
"Jun 12","0.086","0.069","0.112","0.061","21.13%"
"May 12","0.071","0.091","0.104","0.058","-26.80%"
"Apr 12","0.097","0.079","0.097","0.066","36.62%"
"Mar 12","0.071","0.084","0.338","0.061","-12.35%"
"Feb 12","0.081","0.061","0.889","0.056","44.64%"
"Jan 12","0.056","0.020","0.074","0.010","180.00%"
"Dec 11","0.020","0.005","0.122","-0.010","150.00%"
"Nov 11","0.008","0.015","0.030","0.002","-180.00%"
"Oct 11","-0.010","0.023","0.051","-0.010","-140.00%"
"Sep 11","0.025","0.015","0.036","0.002","66.67%"
"Aug 11","0.015","0.097","0.112","-0.010","-84.85%"
"Jul 11","0.099","0.020","0.102","0.003","395.00%"
"Jun 11","0.020","0.053","0.066","0.003","-62.26%"
"May 11","0.053","0.043","0.066","0.008","23.26%"
"Apr 11","0.043","0.063","0.104","0.030","-54.26%"
"Mar 11","0.094","0.140","0.155","0.066","-33.80%"
"Feb 11","0.142","0.157","0.621","0.089","-6.58%"
"Jan 11","0.152","0.124","0.162","0.124","19.69%"
"Dec 10","0.127","0.167","0.203","0.101","-23.95%"
"Nov 10","0.167","0.113","0.188","0.112","40.34%"
"Oct 10","0.119","0.162","0.203","0.114","-26.54%"
"Sep 10","0.162","0.147","0.172","0.129","14.08%"
"Aug 10","0.142","0.152","0.172","0.137","-3.40%"
"Jul 10","0.147","0.183","0.188","0.145","-16.95%"
"Jun 10","0.177","0.162","0.188","0.020","9.26%"
"May 10","0.162","0.165","0.185","0.104","-1.82%"
"Apr 10","0.165","0.157","0.183","0.142","5.10%"
"Mar 10","0.157","0.132","0.177","0.114","26.61%"
"Feb 10","0.124","0.081","0.132","0.005","63.16%"
"Jan 10","0.076","0.061","0.091","0.030","24.59%"
"Dec 09","0.061","0.071","0.233","0.023","8.93%"
"Nov 09","0.056","0.061","0.142","0.013","9.80%"
"Oct 09","0.051","0.142","0.162","0.048","-59.84%"
"Sep 09","0.127","0.157","0.236","0.015","-10.56%"
"Aug 09","0.142","0.188","0.254","0.005","-23.24%"
"Jul 09","0.185","0.193","0.274","0.013","-4.15%"
"Jun 09","0.193","0.152","0.223","0.008","40.88%"
"May 09","0.137","0.132","0.208","0.129","3.79%"
"Apr 09","0.132","0.208","0.238","0.081","-36.54%"
"Mar 09","0.208","0.254","0.299","0.122","-18.11%"
"Feb 09","0.254","0.243","0.345","0.218","4.53%"
"Jan 09","0.243","0.117","0.254","0.056","91.34%"
"Dec 08","0.127","0.025","0.513","-0.005","252.78%"
"Nov 08","0.036","0.447","0.528","0.005","-91.86%"
"Oct 08","0.442","0.874","1.292","0.117","-51.43%"
"Sep 08","0.910","1.715","1.879","0.020","-47.28%"
"Aug 08","1.726","1.675","1.920","1.598","3.35%"
"Jul 08","1.670","1.839","1.915","1.307","-2.91%"
"Jun 08","1.720","1.905","2.115","1.634","-9.71%"
"May 08","1.905","1.393","2.136","1.346","40.90%"
"Apr 08","1.352","1.398","1.526","1.060","6.96%"
"Mar 08","1.264","1.838","1.930","0.514","-28.43%"
"Feb 08","1.766","1.941","2.326","1.766","-4.49%"
"Jan 08","1.849","3.384","3.404","1.936","-40.89%"
"Dec 07","3.128","3.155","3.383","2.738","5.71%"
"Nov 07","2.959","2.959","2.959","2.959","-22.70%"
"Oct 07","3.828","3.828","3.828","3.828","4.25%"
"Sep 07","3.672","3.672","3.672","3.672","-4.92%"
"Aug 07","3.862","3.862","3.862","3.862","-21.50%"
"Jul 07","4.920","4.920","4.920","4.920","3.43%"
"Jun 07","4.757","4.757","4.757","4.757","1.00%"
"May 07","4.710","4.710","4.710","4.710","-2.59%"
"Apr 07","4.835","4.835","4.835","4.835","-3.63%"
"Mar 07","5.017","5.017","5.017","5.017","-1.90%"
"Feb 07","5.114","5.114","5.114","5.114","0.22%"
"Jan 07","5.103","5.103","5.103","5.103","2.47%"
"Dec 06","4.980","4.980","4.980","4.980","-0.68%"
"Nov 06","5.014","5.014","5.014","5.014","-1.07%"
"Oct 06","5.068","5.068","5.068","5.068","4.47%"
"Sep 06","4.851","4.851","4.851","4.851","-3.56%"
"Aug 06","5.030","5.030","5.030","5.030","-0.36%"
"Jul 06","5.048","5.048","5.048","5.048","1.45%"
"Jun 06","4.976","4.976","4.976","4.976","3.62%"
"May 06","4.802","4.802","4.802","4.802","0.92%"
"Apr 06","4.758","4.758","4.758","4.758","3.61%"
"Mar 06","4.592","4.592","4.592","4.592","-0.22%"
"Feb 06","4.602","4.602","4.602","4.602","3.32%"
"Jan 06","4.454","4.454","4.454","4.454","11.43%"
"Dec 05","3.997","3.997","3.997","3.997","1.52%"
"Nov 05","3.937","3.937","3.937","3.937","1.81%"
"Oct 05","3.867","3.867","3.867","3.867","9.92%"
"Sep 05","3.518","3.518","3.518","3.518","0.43%"
"Aug 05","3.503","3.503","3.503","3.503","3.36%"
"Jul 05","3.389","3.389","3.389","3.389","9.29%"
"Jun 05","3.101","3.101","3.101","3.101","5.84%"
"May 05","2.930","2.930","2.930","2.930","2.13%"
"Apr 05","2.869","2.869","2.869","2.869","3.72%"
"Mar 05","2.766","2.766","2.766","2.766","1.54%"
"Feb 05","2.724","2.724","2.724","2.724","11.32%"
"Jan 05","2.447","2.447","2.447","2.447","10.87%"
"Dec 04","2.207","2.207","2.207","2.207","-0.23%"
"Nov 04","2.212","2.212","2.212","2.212","16.79%"
"Oct 04","1.894","1.894","1.894","1.894","11.74%"
"Sep 04","1.695","1.695","1.695","1.695","7.08%"
"Aug 04","1.583","1.583","1.583","1.583","10.01%"
"Jul 04","1.439","1.439","1.439","1.439","12.42%"
"Jun 04","1.280","1.280","1.280","1.280","20.75%"
"May 04","1.060","1.060","1.060","1.060","9.50%"
"Apr 04","0.968","0.968","0.968","0.968","2.65%"
"Mar 04","0.943","0.943","0.943","0.943","-0.53%"
"Feb 04","0.948","0.948","0.948","0.948","3.38%"
"Jan 04","0.917","0.917","0.917","0.917","-1.08%"
"Dec 03","0.927","0.927","0.927","0.927","-1.07%"
"Nov 03","0.937","0.937","0.937","0.937","-1.68%"
"Oct 03","0.953","0.953","0.953","0.953","0.53%"
"Sep 03","0.948","0.948","0.948","0.948","-2.57%"
"Aug 03","0.973","0.973","0.973","0.973","3.73%"
"Jul 03","0.938","0.938","0.938","0.938","2.29%"
"Jun 03","0.917","0.917","0.917","0.917","-17.46%"
"May 03","1.111","1.111","1.111","1.111","-1.42%"
"Apr 03","1.127","1.127","1.127","1.127","0.00%"
"Mar 03","1.127","1.127","1.127","1.127","-6.32%"
"Feb 03","1.203","1.203","1.203","1.203","2.21%"
"Jan 03","1.177","1.177","1.177","1.177","-3.45%"
"Dec 02","1.219","1.219","1.219","1.219","-2.79%"
"Nov 02","1.254","1.254","1.254","1.254","-17.23%"
"Oct 02","1.515","1.515","1.515","1.515","-2.32%"
"Sep 02","1.551","1.551","1.551","1.551","-8.17%"
"Aug 02","1.689","1.689","1.689","1.689","-0.94%"
"Jul 02","1.705","1.705","1.705","1.705","0.29%"
"Jun 02","1.700","1.700","1.700","1.700","-2.63%"
"May 02","1.746","1.746","1.746","1.746","-2.02%"
"Apr 02","1.782","1.782","1.782","1.782","-1.38%"
"Mar 02","1.807","1.807","1.807","1.807","2.90%"
"Feb 02","1.756","1.756","1.756","1.756","-1.18%"
"Jan 02","1.777","1.777","1.777","1.777","2.36%"
"Dec 01","1.736","1.736","1.736","1.736","-2.58%"
"Nov 01","1.782","1.782","1.782","1.782","-12.56%"
"Oct 01","2.038","2.038","2.038","2.038","-14.01%"
"Sep 01","2.370","2.370","2.370","2.370","-29.84%"
"Aug 01","3.378","3.378","3.378","3.378","-4.82%"
"Jul 01","3.549","3.549","3.549","3.549","-3.35%"
"Jun 01","3.672","3.672","3.672","3.672","0.82%"
"May 01","3.642","3.642","3.642","3.642","-6.13%"
"Apr 01","3.880","3.880","3.880","3.880","-9.58%"
"Mar 01","4.291","4.291","4.291","4.291","-11.87%"
"Feb 01","4.869","4.869","4.869","4.869","-2.19%"
"Jan 01","4.978","4.978","4.978","4.978","-15.18%"
"Dec 00","5.869","5.869","5.869","5.869","-5.45%"
"Nov 00","6.207","6.207","6.207","6.207","-2.27%"
"Oct 00","6.351","6.351","6.351","6.351","2.29%"
"Sep 00","6.209","6.209","6.209","6.209","-1.55%"
"Aug 00","6.307","6.307","6.307","6.307","1.68%"
"Jul 00","6.203","6.203","6.203","6.203","5.85%"
"Jun 00","5.860","5.860","5.860","5.860","4.40%"
"May 00","5.613","5.613","5.613","5.613","-3.44%"
"Apr 00","5.813","5.813","5.813","5.813","-0.80%"
"Mar 00","5.860","5.860","5.860","5.860","1.17%"
"Feb 00","5.792","5.792","5.792","5.792","1.76%"
"Jan 00","5.692","5.692","5.692","5.692","9.31%"
