year	month	ABC	CCU	DAR	DECK	EPC	JBSS	KO	LEXR	LTRE	MED	MGPI	MIDD	MTEX	MVL	PPC	REV	SUP	SWY	TEN	USNA	ANDE	CHE	F	JAH	NATR	NLS	SBUX	SEB	SPTN	STKL	TAP	TIVO	TOM	VC	CL	MNST	MTH	PTRY	TPX	TRW	TSCO	BID	CRI	ELY	EXPE	FDP	KCP	NAFC	RDEN	SNMX	DPZ	JNJ	OATS	RAI	SXT	WBD	HLF	JAKK	MCK	SKX	VGR	CAA	MOD	NTRI	PBH	CTB	LEA	THS	GT	ICON	TUP	ARDNA	CQB	IMKTA	SEED	ADY	CROX	GRMN	JSDA	WWW	AMZN	BG	BZH	COKE	PAS	RCII	SAM	CENTA	TBL	TR	BARE	FACE	HBI	SUSS	WINN	HOG	IBA	WRC	BGS	ALCO	G	KTII	OME	WBC	ETP	ADM	DAN	HOGS	PNRA	SMG	BC	ATVI	AXL	STMP	DL	FLO	SENEA	CHBT	BRFS	CZZ	GM	PRGO	SVM	CSKI	DOLE	FOSL	LO	DPS	JNY	FARM	MDC	CLX	PRMW	SPB	TTWO	IPAR	SODA	TSLA	WFM	INGR	URI	BTH	CHEF	EA	ZNGA	RNDY	HSH	CG	PEP	RGS	SYY	LFVN	NGVC	WWAV	BDBD	LKQ	PF	CSG	COTY	ENZY	POST	SFM	VFC	ESI	CPG	FGL	MJN	ABEV	GPRO	SC	WES	KATE	NHTC	DPLO	PFGC	FRPT	SFS	VSTO	BETR	BLD	ENR	KHC	NOMD	UAA	RRR	TPB	USFD	ELF	ADNT	TWNK	NBEV	WOW	CELH	ROKU	APTV	DLPH	CRON	HFFG	VNE	WMK	CPRI	EL	PM
2007	9						-0.017547252560973475							-2.8378442858578214e-05		0.13520418455794922					-2.1926530686090066e-05								0.14413983236445613	0.101279708186142		-0.39917431686395066			0.025211056855717097							-0.0027138735948953256								-0.17483993732595535			-4.2313540436205905e-05								-8.953207431775812e-05				0.0263227553081146				-0.29161937780854524				0.13277664961785815				-0.10607736469345838	0.0739781143373578	0.10368108063344553	-9.990765803698345e-06	0.24957136491312162																																																																																																																											
2007	12						-0.04545520625542609				-0.023872299495516884			-0.002543650347423142							-1.8429383653139537e-07												-0.041934460669146016						-0.014675289539972852	0.08864339120313773		-0.06709198429994893											-2.529541020648901e-07											6.672098500892834e-08														0.004466645847397253	0.10360029605162471	4.067521442260389e-09		0.02489731973082008	0.1567130165449905	-0.09531760113295477	-6.616539595702383e-07	0.02375268810304306	-0.16190547863816596	0.05072363784703713																																																																																																																				
2008	3			0.11692999364956501							0.05217319350531381										0.006318832514971225	0.09078828543847192		-0.024987113694501337							0.1405322341017911				9.975502637020645e-06											0.05000783263371624											0.26143022643483793							-0.04049132338459826	-2.807063976593896e-06				-0.051754770659732205		0.2573510406940285					-0.5000934580873483	9.271985682119359e-07	0.04944357598945332		1.234627393149296e-05									-0.32461637103916197	-0.08216174535220715	-0.0008166952659143188																																																																																																																	
2008	6			0.0834455335005321								-0.1015296703151408		-0.02623426795924487																0.029407035789800504		0.051651544089370685																			-1.7650050446912974e-06						0.1357723413575966	9.1850016393851e-08								1.929122238522627e-07			-0.21765012624131652		-0.012420930179704583						-0.04754564846609173	-1.2383593450898607e-07		-3.964068281717179e-08									-6.302956233725929e-07			-0.0663920259459391	3.833768470812363e-07	-1.4750910442550103e-06	2.1472138672617999e-07	0.17149539330089578																																																																																																												
2008	9										0.005033842964947874																-1.1373998886812795e-07						0.00036335237245925625													0.011294529767762585	0.027874613235269647				-3.892588863154456e-07							0.08302717013032634								-1.5264880924780266e-06			-5.022542763284974e-07		0.03153905309807411					-0.21037794401682974		1.6329805308844712e-07	0.03331036870704267														2.0163240362163086e-07	0.31859046627390686	-1.1198909155219792e-06	1.1836650085557194e-06	8.260479569792275e-08	-1.657761507968286e-06	-0.3006522034129581																																																																																																									
2008	12										0.05393286226968296	-0.029169382969686623									0.055802748174907164										0.05042473469379174	0.23212544266638357	0.025463378937752704							-0.06604418837719336	0.12363777489487689	0.22017268191491418																								0.14295598335377566				-0.030993253237143407	-0.045510055290445946					-8.001883376333751e-05		-0.0643029223280819											-4.144975541703547e-06			-0.35457378431050696		-9.059756420427786e-05		-3.816502776746628e-07		-0.31379594715499		2.7325497656333745e-05																																																																																																								
2009	3			0.0890692458445828										-0.04993251092667359																		0.07843933509153364							1.983972537659417e-06	1.525314381888725e-06	-0.14624224389409027									-0.05908070658403216		-0.37621005698843896					0.09604542081037507							-0.12859722926204165		-1.5993052165244031e-06																	0.1610679329289159						-0.1203743988527516				-2.259207841122771e-06		-0.09254005425365408						-4.8920059942204503e-08	-7.674908892238567e-07	0.498478269713239	0.049877551347608545	2.5039143518630804e-07																																																																																																			
2009	6									-7.022255098111413e-06				-6.7817347224117564e-06						-1.8721581961261966e-05	0.00455760408080164																		0.00023495998565407195			0.017465560666974772							0.006183551905115873	-1.0087789411889873e-05											-1.2319157586638824e-05															-0.021071044579864938	2.441928233590075e-06	-0.018456214302654435		1.1202187384153687e-06			-4.217774643625472e-06						-1.8874732897138002e-07						-0.024495706189414067	0.02167084185463452					0.24256146909864798	-6.970056254424026e-06				-0.22859639597931014																																																																																																		
2009	9											-1.5732352972528693e-06								1.3767001949508181e-08			8.812541018729784e-06									-0.04027647678178778									-4.884253842219343e-06						-0.0375133622579198											0.0300974670404814																		0.07646980936723437		0.016072146453196903		0.056121205181687235					1.7314888044189505e-05							-6.3591740811627035e-06			2.000435518297046e-05			0.2874953273238447			-0.2017580847471736						3.277552666847712e-06	0.3025234794915028	-0.4892915754129768	3.5834474254822157e-06	8.20036058335233e-06																																																																																													
2009	12										0.024754281807314697	0.012399741379626055								0.004621604388486355													0.03566980606927478						0.029228457308821506	0.12936271397923796	0.02573680083161389							5.58446368752421e-06			3.0877558943669e-06	1.5628425642898302e-06						0.06278954432717741																			0.03990823913190819			-5.0599797565687e-06			-1.7048106175781462e-06										-0.4999962016231127								0.19581283815955938	-0.051797398618205606						6.006292584467724e-07	-0.008501007416276327			3.349000394077212e-06																																																																																												
2010	3										0.04358118556934884	0.008825671892062419				-0.06430583561743607	0.05560478338183721		2.7716706382017644e-05	0.0026002437078528067																					0.014760153573228962																							1.9033592449317577e-06				-0.16722491050681368										5.6409997571901095e-06		1.7819878766169648e-05			1.790804659068928e-05	-9.267114838143541e-06	1.1447578856925347e-05		9.773092060885427e-06								-9.472363311101669e-06													0.10605344263305598					7.187589863427411e-06	-6.233209113772954e-06	4.8045188264335816e-06																																																																																									
2010	6											4.272931021317006e-06					2.1457827221403085e-06			7.935376403413488e-07	0.025477846828552128						-0.09602569022809118			0.009659852838871783		0.11134798473051284									1.0737040103956319e-06									-0.36822804501671524														-0.06832405656171824				-0.31738154968033183									0.03438407071266378			0.0130633187163418				-0.029230234470961913					0.03539042752587195																	0.2345056139669999		0.09796643070851704						-0.016458411632516587		0.33384791952854326	3.066658616001215e-06																																																																																							
2010	9											0.024898988023136066					0.0590118217060008			0.012510215309402823												1.4736601265719697e-05									0.04007510993762892																							0.10197754374351067													-2.0822912447430836e-05	0.031378489636747324		2.8730985462446883e-05				4.5322333741916824e-06											-9.236351794975205e-06	-0.16526316834395732					-0.1093795504835355						2.7240784905889785e-05	0.048369536743462886				0.013836517698323276		1.3632986313939797e-05	3.480190926180498e-05	-0.05748584083184167		-2.41022954190931e-05																																																																																						
2010	12										0.03702621976019588	0.017802611270694824				-0.023367429070895517	0.031018014230839806			0.00926603033105565																					0.03722247965469667																	0.12069585930784191						0.06248251918687841				-0.07456432404615092										0.03351027243181485		-8.84066163594018e-06			-3.80622385635198e-05										-0.01042383012642913		3.7663781103094174e-05	-0.09119586318436916												0.012075602901810875					-1.535772581244948e-05	1.34175687240305e-05	-6.628902530034686e-05				-0.16150393240482372																																																																																					
2011	3				0.1402248603837267									-0.017059079767896928		-0.0887559780167906	-8.127866487693273e-06			0.034501710119305674																				0.07921193765672693																									4.577896968028494e-06			-0.1863536079263847								0.0017489204508846004				5.046354290518159e-06		0.04713288652412335		-5.447506848535971e-06									-0.061288238915762086			-0.31117324297741134												-2.5197798266410408e-06												0.16688295464090006	-6.94872718754914e-06	-0.20385183300873777	0.033033538482745484	0.36576192923300666																																																																																
2011	6													-0.0348822969732938			0.02438260567292865			3.2217612980180666e-07	-0.0014280153894052573																			0.06649414891769402																																				0.004482191066686031	-0.04418707969118318	3.3660049084304386e-07				0.030811249324639793														-0.2826385109064309	8.00953216958286e-07		3.09149428744704e-07									-3.521564362549377e-07												0.30617955518485596	-0.04326448242305366		0.04970079912475394		-0.14877132419250466	-0.012453706986847394	0.08557486014649465	-9.047311320058796e-07																																																																												
2011	9																			2.0286044923563934e-07						0.20210495498154937	-0.13070641732130545														2.249592154095942e-05																							-0.05909355783211302			-0.0944025733056189													0.0018589717827660055		0.08896152681532729	1.1680829692265907e-05	-0.12018179450001264	-7.509681415582591e-05										3.500355573890486e-05													2.140944013961309e-05						-0.1146973766345556			-3.917517932802855e-05						0.1206620723083827	-0.10658633691913964				0.33643661015367976	0.06183654119306318	-0.18620942485961745																																																																										
2011	12													-0.03973725813149747		-0.0626994505814154	0.03521189909413048			0.005718072381589229												-3.8157053895507405e-07								0.13662981482900466	0.022810413290148313									0.2475122759405517								0.1673840386278094						2.1738850555209064e-07													-0.022792913435980146	0.04917738020021644		-1.6534064481819794e-07													-0.0476179622449736															0.01691482064978985	-0.10359440977005699					1.2636890116901598e-08				-7.535800446140917e-07													-0.27480820062403505	-0.13010742132675127																																																																								
2012	3									-0.1623034241485519	0.04643189269065451	0.06263505146786134								0.04858138612354172																					0.11845387789070022												-0.06161055815912244												-0.023370271927511576		0.05875801971974706						-0.00010620946089924756					0.11288030813770332						-9.238632380853405e-07	1.18940051672004e-05										-7.355199680155631e-05													0.11711065104390823					-0.19625565021613722	0.0678270980203306		-0.415369279749907								0.32309861372905735				-3.1637687380495204e-05					-0.09675236150494418																																																																							
2012	6											1.3310862383860334e-07					-0.00970994857455889			5.807789745474682e-08																					2.434655468827955e-07																								2.5444007888084073e-08											-0.03793485321964584	-0.06739720409569858	0.04564862113763667						-9.642686449780403e-08	2.5096410934929203e-07																-0.2698340376242631							0.028225523171520144				0.011111730153800969		1.521867715427115e-07						-4.480855092126667e-07	0.3465625726889005					-0.07751588609364932								-0.2819833239023266	0.4394031671428901	-0.12657668107477818																																																																				
2012	9																-6.539823258760675e-08									0.11419995558429687																				0.08742070311740498						0.19823233052085062													-1.1235980229902618e-07											-0.01764046255505051		0.027683569424140506						0.009797368361753366											0.20287522802784344													0.01341674619156065				0.05721128321856253								-2.854031527881116e-07				-0.03156808373873779		-0.08220792354859348					-0.08097265279682071			-0.4931783138674472		-0.10432578085057251	0.09905622600903123	6.009951338885169e-08	9.438360500348421e-08																																																																	
2012	12																-4.874665674680336e-06			-6.4604329901151055e-06						0.13548139957348534							-0.008646965813806213													0.12119060591921266			-0.12147187084012305																-0.06934654100929401											-0.052693725584531656	-1.5098777802881459e-05	0.031134708717473775						0.07753112272383919											0.13385097556397008													0.030281253699239515																		0.13209583351858326					-0.22895340393359923			-0.44924860390054133		-0.05496982503761948	0.142109658660646		-0.3157811215152511	0.4974674236074703																																																																
2013	3									-0.0048830846299489725		0.021884019455057396					0.02151256888480793			0.016249176590974156																					0.05630006153469224												3.515854234092302e-05														0.062409964092961526		2.6599861530594827e-05									0.04007749888420886						0.08678857982673437											6.388553256252513e-05													0.036468769323214564					-0.17032066642399196	0.0707785334440386	6.71134389069439e-05		2.7964262859651348e-05			4.01338641307289e-05														-0.3380073128056501							6.644017963213509e-05	0.10038148763550114																																																														
