year	month	ABC	CCU	DAR	DECK	EPC	JBSS	KO	LEXR	LTRE	MED	MGPI	MIDD	MTEX	MVL	PPC	REV	SUP	SWY	TEN	USNA	ANDE	CHE	F	JAH	NATR	NLS	SBUX	SEB	SPTN	STKL	TAP	TIVO	TOM	VC	CL	MNST	MTH	PTRY	TPX	TRW	TSCO	BID	CRI	ELY	EXPE	FDP	KCP	NAFC	RDEN	SNMX	DPZ	JNJ	OATS	RAI	SXT	WBD	HLF	JAKK	MCK	SKX	VGR	CAA	MOD	NTRI	PBH	CTB	LEA	THS	GT	ICON	TUP	ARDNA	CQB	IMKTA	SEED	ADY	CROX	GRMN	JSDA	WWW	AMZN	BG	BZH	COKE	PAS	RCII	SAM	CENTA	TBL	TR	BARE	FACE	HBI	SUSS	WINN	HOG	IBA	WRC	BGS	ALCO	G	KTII	OME	WBC	ETP	ADM	DAN	HOGS	PNRA	SMG	BC	ATVI	AXL	STMP	DL	FLO	SENEA	CHBT	BRFS	CZZ	GM	PRGO	SVM	CSKI	DOLE	FOSL	LO	DPS	JNY	FARM	MDC	CLX	PRMW	SPB	TTWO	IPAR	SODA	TSLA	WFM	INGR	URI	BTH	CHEF	EA	ZNGA	RNDY	HSH	CG	PEP	RGS	SYY	LFVN	NGVC	WWAV	BDBD	LKQ	PF	CSG	COTY	ENZY	POST	SFM	VFC	ESI	CPG	FGL	MJN	ABEV	GPRO	SC	WES	KATE	NHTC	DPLO	PFGC	FRPT	SFS	VSTO	BETR	BLD	ENR	KHC	NOMD	UAA	RRR	TPB	USFD	ELF	ADNT	TWNK	NBEV	WOW	CELH	ROKU	APTV	DLPH	CRON	HFFG	VNE	WMK	CPRI	EL	PM
2007	9						-0.016422069819256913							-4.274335627896437e-05		0.12648823244309962					-2.391518350164092e-05								0.13482714300376014	0.09473945200129906		-0.3733891162819925			0.023571537559699287							-0.0025543339126059095								-0.16352038439580804			-8.257777850090704e-06								-0.00011067922039564736				0.02465279504650319				-0.2727610888386006				0.1242152904173889				-0.09922247119375913	0.06917546032696496	0.0969832609741071	-1.530937862235887e-05	0.2334311359307207																																																																																																																											
2007	12						-0.032141938517057385				-0.01688007187793916			-0.0017988038793289613							-3.542080638371861e-07												-0.02965245438445369						-0.010377098316128259	0.06267769538242175		-0.047440742462933755											-8.204208064823474e-07											4.0032568912111525e-06														0.00315863333320973	0.07325572958764422	-7.884959315686917e-09		0.01760418563939056	0.11081203418955722	-0.06740002513288881	4.679651764968645e-07	0.01679176954152904	-0.11448597585337458	0.03587123413938619																																																																																																																				
2008	3			0.08601309695974395							0.027619159152681226										-2.068776473225678e-05	0.06277272244297762		5.0464014842319055e-05							0.08487822043366396				4.906287702339919e-05											0.029918620630809033											0.18363462186420615							9.103362190301965e-05	0.007537989310929477				-0.023002430659493533		0.1874010390322409					-0.4828350620548665	-0.020906355737085634	0.0412993010741128		-0.0030735653406916436									-0.18136573109664558	-9.356829360702443e-05	6.758206455412519e-05																																																																																																																	
2008	6			0.0834455335005321								-0.1015296703151408		-0.02623426795924487																0.029407035789800504		0.051651544089370685																			-1.7650050446912974e-06						0.1357723413575966	9.1850016393851e-08								1.929122238522627e-07			-0.21765012624131652		-0.012420930179704583						-0.04754564846609173	-1.2383593450898607e-07		-3.964068281717179e-08									-6.302956233725929e-07			-0.0663920259459391	3.833768470812363e-07	-1.4750910442550103e-06	2.1472138672617999e-07	0.17149539330089578																																																																																																												
2008	9										0.005033842964947874																-1.1373998886812795e-07						0.00036335237245925625													0.011294529767762585	0.027874613235269647				-3.892588863154456e-07							0.08302717013032634								-1.5264880924780266e-06			-5.022542763284974e-07		0.03153905309807411					-0.21037794401682974		1.6329805308844712e-07	0.03331036870704267														2.0163240362163086e-07	0.31859046627390686	-1.1198909155219792e-06	1.1836650085557194e-06	8.260479569792275e-08	-1.657761507968286e-06	-0.3006522034129581																																																																																																									
2008	12										0.015573507421457192	-0.00842516285723804									0.016099111200442374										0.014565173252298266	0.06704554191426258	0.007357559960974133							-0.019052407331949003	0.03569341956256397	0.06354014056131062																								0.041326937122241746				-0.008929813000350739	-0.013117037171424295					-2.1810202283661778e-05		-0.018559555195490025											-8.320712897246525e-06			-0.10227334452185857		2.9173257114721525e-05		-2.674544944377999e-06		-0.09087149496224162		2.751230861508002e-05																																																																																																								
2009	3			0.028178666792168083										-0.015803288035500046																		0.02485915736275724							6.632986997946282e-06	2.5482766538644964e-05	-0.04627421396100963									-0.018735331545741734		-0.11900292828726626					0.030375047856977547							-0.040696322565994016		-7.79454102614811e-05																	0.050955536235973535						-0.03807788961176329				1.6560554489826332e-05		-0.029291310712961535						1.4576857505461035e-05	-7.006164115483912e-05	0.15769486840204278	0.015769291569472287	5.010406889625832e-05																																																																																																			
2009	6									-7.022255098111413e-06				-6.7817347224117564e-06						-1.8721581961261966e-05	0.00455760408080164																		0.00023495998565407195			0.017465560666974772							0.006183551905115873	-1.0087789411889873e-05											-1.2319157586638824e-05															-0.021071044579864938	2.441928233590075e-06	-0.018456214302654435		1.1202187384153687e-06			-4.217774643625472e-06						-1.8874732897138002e-07						-0.024495706189414067	0.02167084185463452					0.24256146909864798	-6.970056254424026e-06				-0.22859639597931014																																																																																																		
2009	9											-1.5732352972528693e-06								1.3767001949508181e-08			8.812541018729784e-06									-0.04027647678178778									-4.884253842219343e-06						-0.0375133622579198											0.0300974670404814																		0.07646980936723437		0.016072146453196903		0.056121205181687235					1.7314888044189505e-05							-6.3591740811627035e-06			2.000435518297046e-05			0.2874953273238447			-0.2017580847471736						3.277552666847712e-06	0.3025234794915028	-0.4892915754129768	3.5834474254822157e-06	8.20036058335233e-06																																																																																													
2009	12										0.024754281807314697	0.012399741379626055								0.004621604388486355													0.03566980606927478						0.029228457308821506	0.12936271397923796	0.02573680083161389							5.58446368752421e-06			3.0877558943669e-06	1.5628425642898302e-06						0.06278954432717741																			0.03990823913190819			-5.0599797565687e-06			-1.7048106175781462e-06										-0.4999962016231127								0.19581283815955938	-0.051797398618205606						6.006292584467724e-07	-0.008501007416276327			3.349000394077212e-06																																																																																												
