ABC	ACI	ACV	ADM	BEAM	BF	BG	BUFF	BYND	CAG	CASY	CCE	CEDC	CHD	CL	CLX	CPB	CPO	CTVA	CVS	DF	DG	DLM	DPS	ENR	EPC	FLO	GIS	GMCR	GNC	GO	HAIN	HANS	HLF	HNZ	HRL	HSH	HSY	INGR	K	KDP	KFT	KHC	KMB	KO	KR	KRFTV	LO	LP4009	LW	MCK	MDLZ	MJN	MKC	MNST	MO	NTY	NUS	PEP	PF	PG	PM	POST	PPC	RAD	RAH	RAI	REYN	SAM	SFD	SFM	SJM	SPB	STZ	SVU	SWY	SYY	TAP	TFM	THS	TSN	USFD	WBA	WFM	WFMI	WWAV
20100707			454295.0			211730.0	700044.0			611484.0				409817.0			222542.0						864238.0		526823.0		649167.0	440274.0	997304.0				197500.0	1251023.0	415501.0	634025.0	887563.0	490551.0						633631.0	200314.0	199395.0		419859.0					633424.0				888118.0				623598.0					708849.0	211122.0			899696.0		876531.0			569945.0			1261738.0					157904.0		1247981.0	
20100722				783021.0								1171114.0				213183.0				703096.0				466482.0																		608683.0																																			424337.0									
20100806				718818.0			399508.0			683451.0		1255415.0	241449.0			413441.0					901086.0		654746.0	1135581.0	485053.0		785100.0	653807.0					211516.0	853811.0	407150.0		830657.0	1109174.0										209978.0					718869.0				1254312.0				201473.0					1204749.0						403067.0			823885.0			1201975.0								
20100820														418719.0																												206644.0																																			857983.0									
20100907						749274.0											396468.0			1184185.0																419526.0								209493.0		212745.0								703027.0		218999.0																											846445.0		1192369.0	
20100921				870533.0		782266.0	459684.0			676376.0		1339878.0	227647.0	415616.0		443744.0	443137.0			1120767.0	865613.0		661954.0	1198363.0	534047.0		900967.0	743681.0					245623.0	1028611.0	456046.0	454359.0	872506.0	1179486.0				227620.0		226039.0		213475.0		224897.0					759981.0	766782.0		236967.0	1365660.0				211168.0					1325413.0						413913.0			764095.0		819747.0	1252199.0					857697.0		1175689.0	
20101007						815387.0				711418.0			230311.0			474599.0	440738.0			1352713.0	894888.0		688969.0		590872.0		897100.0						262901.0	1156753.0	483109.0	485628.0	840739.0					243452.0						245716.0					858656.0	837324.0												1345443.0									938646.0			1405078.0					1107361.0			
20101021												1511046.0																										1251924.0						236100.0		242992.0										264425.0																													1299046.0	
20101105				935449.0			530594.0							457765.0										1197573.0				778197.0																																	221259.0											443020.0					881149.0									
20101119			1490726.0	1570908.0			1528508.0			539876.0		1165791.0						1195741.0		1440285.0	1073177.0		1152035.0		586401.0		539884.0		1113981.0				1157184.0	1592243.0	545434.0	542339.0	281158.0	274035.0				275774.0		512911.0		916804.0		278609.0					544084.0	949695.0		1114651.0			259166.0		278751.0	943690.0				1118312.0	288737.0			898528.0		958749.0			1408353.0		271561.0	1053643.0			511145.0		913058.0		966927.0	
20101207			1487916.0				1549120.0			516178.0								1212811.0			750687.0		1506107.0		551827.0		555828.0		1252937.0				1203981.0	1712908.0	537504.0	579504.0	294223.0	259070.0				258442.0		501033.0		982639.0		262281.0						946338.0		1053637.0			256438.0		267716.0	917470.0				1115488.0	274237.0			945533.0		945155.0			1181064.0		268362.0	1064251.0			520714.0		940061.0		1149837.0	
20101221				1368251.0								1173044.0								1483948.0																																	550872.0																																	
20110111			1474625.0				1660693.0			539803.0								1286647.0		1656875.0	908695.0		1504741.0		569256.0		568392.0		1105250.0				1176200.0		547672.0	603694.0	341827.0	259538.0				268238.0				928831.0		267869.0						996207.0					257163.0		282049.0	940313.0				1167168.0	288126.0			1102569.0		974862.0			1252170.0		270035.0						1046095.0			
20110124																																		1697921.0										508402.0									573749.0			1075502.0																						1114723.0			563766.0				1225606.0	
20110207				1413169.0								1210363.0																																																																										
20110221			725556.0	1959618.0			1874841.0			936617.0		952052.0				314734.0	709229.0	950007.0		1419720.0	1657625.0		955682.0	317627.0	945426.0		888389.0	704993.0	737493.0				1025743.0	1724105.0		695426.0	1399151.0					305976.0		971827.0		1381469.0		660976.0					294286.0	300768.0					310263.0		709149.0	309128.0				1359514.0	308080.0			1741906.0		1367412.0						1685806.0			1724072.0		1498213.0		1844996.0	
20110307			745353.0				2042552.0			998204.0								1033115.0		1410221.0			980469.0		892552.0		962444.0	773580.0	920306.0				1070948.0			792706.0	1450421.0					327471.0		1016662.0															314403.0		727771.0	348392.0					341550.0			2081193.0		1556098.0											1649906.0			
20110320				2291603.0								1022618.0				348452.0	718530.0				1772115.0			332185.0										2126329.0												1519045.0		693005.0					312204.0	333181.0												1480301.0												1690136.0			2006366.0				2146988.0	
20110407			1160493.0	3448479.0			3179775.0			1590755.0		1649653.0					1097714.0	1703507.0		2275660.0	2606922.0			532751.0	1474504.0		1531051.0	1183106.0	2265074.0				1743861.0	3426393.0		1251968.0	2325481.0					502285.0		1564465.0		2469984.0		1335523.0					470413.0	516971.0					497784.0			566020.0				2425820.0	549177.0			3359126.0		2506763.0						2691612.0			3210100.0		2373830.0		3753312.0	
20110421																557223.0																																													1103924.0																									
20110508				3573306.0			3626613.0			1879376.0								1478891.0						642147.0	2950436.0		2048661.0	1468163.0	3602868.0				2004702.0				661704.0	1476223.0				651638.0		1406793.0	1857388.0			684423.0											651062.0		1921841.0	643135.0								3405208.0		1920293.0				2871846.0		2893347.0			3605927.0		1943316.0		3309660.0	
20110523												1448087.0		633992.0			1411598.0			2936325.0	3112689.0													3835167.0		1928949.0										2821302.0								625150.0												3161654.0								1534822.0												
20110607				5319740.0			6086170.0			3322371.0		2500818.0		1097847.0			2480085.0	2585881.0		5332129.0	6562956.0			1146191.0	5119768.0		3798140.0	2574524.0	7535658.0				3687630.0	8177865.0		3270137.0	1144247.0	2426998.0				1152477.0		2477459.0	3123984.0	4897209.0		1258172.0						1084813.0							3376617.0	1128561.0				6078620.0						3444099.0				4960749.0		4702064.0			5859199.0			5484001.0		
20110621																																																											1141481.0											5146855.0				2561209.0									3370609.0			
20110707							6524704.0											2920650.0							5573039.0		4362610.0		9454023.0				4829075.0	9700760.0			1288292.0	2862586.0							3646984.0																3705544.0	1217308.0								6222203.0		3849006.0				5437428.0		5226957.0						6594435.0		
20110721												2927762.0																								3848705.0								2790178.0		5665565.0		1377242.0						1241859.0																				2811969.0							6926918.0					
20110805				5732333.0						3905259.0				1221777.0			2858089.0			5998426.0	6720097.0			1352073.0				2788144.0														1345752.0																	1310240.0							6925948.0																	3802061.0			
20110819				12222364.0			12100947.0			2408635.0		4673896.0					2319480.0	11160957.0		7037708.0	6535626.0			4367929.0	5412614.0		7235685.0	2430760.0	14124051.0				9191367.0	11720072.0	2394866.0	9426919.0	4881189.0	2406544.0						2386853.0		7296174.0							5125296.0						6610928.0		4691769.0					7270662.0	2305199.0			12210328.0		4943903.0		9501099.0		8373960.0	7139471.0	9769866.0			10966004.0		8920483.0	10205814.0		
20110907				8762063.0			8702382.0			1752520.0		3511889.0						7849576.0		5316688.0	3918485.0			3403905.0	3862470.0		4811731.0	1886704.0	10882941.0				7826861.0	8984075.0	1831387.0		3523711.0	1912379.0						1920590.0		5285592.0							3912794.0						5086255.0		3715645.0						1881507.0			9295001.0		3497800.0		7044696.0		5819509.0		7255557.0			8342874.0			7726131.0		
20110921																	1710410.0																			6874780.0																														5564473.0											4984899.0						6152385.0			
20111007							8301691.0			1842625.0		3350443.0					1837650.0	6967916.0						3635112.0	3607340.0		5202590.0		10230344.0				8470392.0	9128641.0	1857745.0	7121180.0	3380887.0	2043257.0															3998362.0								3899536.0						1985485.0			8753167.0		3741020.0				5590427.0		6955178.0					6084587.0	8083560.0		
20111021				8078218.0																5264608.0	4258229.0							2031580.0																2097655.0		5215006.0													5179171.0							5215680.0								6790636.0			4894034.0				8778092.0					
20111107						1827681.0	7283458.0			7187832.0					3498250.0			6370760.0									5349932.0		6013284.0				8773264.0	9999307.0	3635335.0	9369773.0	3742169.0	4977676.0						5058266.0		7257279.0							7180265.0								1741205.0						3545942.0			10071027.0				7722423.0		6004822.0		5513603.0			9552989.0			9485067.0		
20111121				8020051.0										5152131.0						1857900.0				3317935.0				3444822.0												1756054.0					6949220.0									1808986.0					3497183.0																		1840797.0						1736877.0			
20111207				8362201.0		1964970.0	7390226.0			7184766.0				5174940.0	3557027.0			6846446.0		1994313.0				3242538.0			5248562.0	3578465.0	4857700.0				9095006.0	8885700.0	3590337.0	9593341.0	3995494.0	5026462.0		1592563.0				5197864.0	6849652.0	7272738.0							7543696.0	1814311.0					3566098.0		1757093.0						3844475.0			10813578.0				7452199.0		6213458.0	1895364.0	5292608.0			9988941.0		1764188.0	8978966.0		
20120109				8544489.0		2127715.0	7278083.0			8076662.0				5758395.0	3864642.0			7446260.0		2248249.0				3772734.0			5421293.0	3889896.0	4474288.0					8934741.0	3962925.0	10042465.0	4288224.0	5795610.0		1761296.0				5754874.0	7678315.0	8172740.0							7397892.0	2020806.0					3971491.0		1961492.0						4095861.0			11537323.0				8512340.0		7033404.0	2099529.0	6111520.0			11014218.0		1863139.0	9876245.0		
20120123																																	9772539.0																																																					
20120207						6295737.0	10405472.0			6301400.0		6483411.0			1779230.0		1736097.0	10975278.0		6388296.0								4097398.0						4658444.0	1745995.0	6128994.0	6313927.0							4051491.0		8159199.0							1960282.0	4170549.0	9436278.0	1744534.0					1714575.0	9905205.0					1720242.0			9560379.0				10514257.0	7077783.0	8690710.0	6406660.0	8197463.0			9391104.0		8394368.0	8848370.0		
20120307				10408951.0										1804806.0																								4113613.0							4010744.0														4118981.0																											
20120321				16248398.0		9067001.0	17520603.0			8884104.0		10018414.0		2720283.0	2617713.0		2613908.0	16232976.0		9884974.0								5645215.0						7633194.0	2542482.0	8684729.0	9563704.0	5855763.0						5910486.0	5943291.0	11702155.0							2946659.0	5963337.0	14793241.0	2648489.0			5654833.0		2630530.0	15848821.0					2633701.0			14369083.0				15738207.0	9580820.0	12148573.0	8966726.0	12029674.0			13646855.0		11952173.0	13823395.0		
20120410				21708401.0		12190288.0	23463724.0			11699181.0		13050270.0		3681002.0	3641535.0		3499176.0	21490152.0		12926569.0								7661821.0						10443640.0	3392203.0	11856948.0	13391192.0	7791420.0						7869692.0	8294631.0	15694608.0							4105209.0	8468308.0	21135437.0	3577927.0			7851822.0		3462152.0	22144093.0					3432794.0			17789068.0				22382288.0	11032096.0	15067338.0	11983119.0	16300828.0			18196259.0		15887727.0	18765021.0		
20120508				16613110.0	10856195.0		20091851.0			11010550.0		17966808.0		3856029.0		3815072.0	8527381.0	21104404.0		11151311.0					10777689.0		8985747.0	3676060.0						21804077.0		11029160.0	17471499.0			3512654.0		3911449.0		3961537.0	8799036.0	8198464.0		3923664.0					11610500.0	8768083.0	22328431.0						3531855.0	11313244.0								20292659.0		8353824.0		19527923.0	11650630.0	17164141.0	8257367.0	15676669.0			20328432.0		17863138.0	17042756.0		
20120611				17454355.0	11763156.0		18837253.0			10893380.0		16578933.0		4097867.0		3796787.0	8113953.0	19198194.0		11404975.0					11170786.0		9369773.0	3683003.0						14098871.0		11521683.0	16822719.0			3453509.0		3820986.0		4062098.0	8763583.0	7871190.0		3634859.0					11139264.0	8982964.0	25330524.0						3505372.0	10861643.0								19346281.0		8144301.0		17718905.0	9004459.0	16310776.0	8096376.0	14727635.0			21913473.0		15801132.0	18466255.0		
20120706				13707784.0	10295285.0		16841665.0			9525385.0		14411775.0		3634323.0		3387768.0	7251119.0			10061958.0					9788765.0		8385774.0	3137978.0						12912020.0		9946044.0	14614216.0		15781435.0	2965318.0		3267322.0		3650121.0	7758967.0	7036347.0		3273424.0					9423143.0	8198189.0	21082776.0						2922103.0	9491602.0								18044833.0		6821477.0		21077286.0	8751568.0	13202035.0	7338394.0	13512060.0			18068566.0		12983010.0	16856092.0		
20120807				7947968.0		8697342.0	14369804.0			6527383.0		7169860.0		14241344.0	7056056.0	3013621.0				16584633.0	12443990.0			7138332.0			12608938.0		14363457.0	16836506.0						2751509.0		8962734.0	9437777.0			3080121.0		9339916.0	9305241.0			2932469.0					6220766.0	13752000.0	15998632.0	7134801.0			3079046.0			7173790.0					3095813.0			14656304.0				3123498.0		7706418.0	2958321.0	13944643.0	9885333.0		10927123.0		16846311.0	16493141.0		
20120907				7846203.0		8605959.0	13389832.0			6391732.0		6952866.0		13029016.0	6727403.0	2903231.0				16074203.0	15904385.0			6756956.0			11731343.0		18411827.0	16345483.0						2726145.0		8639292.0	9421350.0			3101583.0		8650343.0	8283483.0			2754795.0					6019974.0	13362759.0	13656749.0	6485789.0			2952399.0			6745554.0					2969817.0			14737154.0				3511684.0		7467756.0	2936580.0	14130768.0	9328885.0		10976673.0		15952627.0	16740177.0		
20121005				8222711.0		9035489.0	14548069.0			7243580.0		7593782.0		13254093.0	6998081.0	2965597.0				17623640.0	16333951.0			6925617.0			11824385.0		18552622.0	16910906.0						2862674.0		8795237.0	9957327.0			3185128.0		9154672.0	8664708.0			2636214.0					6204803.0	13917029.0	12945517.0	6577205.0			2975331.0			7007272.0					2879702.0			15459619.0				3557101.0		7918843.0	3125770.0	14741448.0	9998609.0		11581671.0		16766518.0	17381923.0		
20121107				14020360.0	9001165.0	6964862.0	15051543.0					9363966.0		2923572.0	6950450.0		7191414.0			17006532.0	14626551.0			6836463.0	9102281.0		3032260.0	3123196.0	18059988.0	14089956.0					3188354.0	9413574.0		3011223.0	19781518.0					6913999.0		7604639.0						8893661.0		9261734.0					3028282.0		3092257.0	6982779.0								18491864.0		3086123.0		10177215.0		17989084.0	9253765.0	13592727.0	16802949.0		18623397.0		13726313.0	13800647.0		
20121207				15269437.0	9946172.0	8348684.0	16962587.0					10171414.0		3412478.0	7861368.0		8198706.0			18667580.0	16294607.0			7829286.0	10912923.0		3966490.0	3494850.0	30017074.0	14017151.0					3546184.0	10816134.0		3506263.0	22873120.0					7770776.0		8666023.0						9501449.0		10617280.0					3383490.0		3412242.0	7754129.0								22118518.0		3487889.0		11317703.0		20659832.0	10324736.0	14307349.0	16802979.0		23373331.0		14467434.0	14913141.0		
20130108				14440176.0	9993961.0	7368246.0	15543594.0					9544765.0		3111880.0	6991845.0		7175827.0			17884281.0	14474122.0			7116603.0	10070604.0		3616858.0	3184874.0	31207863.0	12236857.0					3223851.0	10035140.0		3197470.0	20918877.0					7051934.0		7925171.0						8613395.0		9635087.0					3029672.0		3069716.0	6670793.0								19661965.0		3141205.0		10290141.0		20142203.0	9523709.0	13610731.0	14375451.0		21807932.0		14561289.0	13736581.0		
