year	month	ABC	CCU	CL	CQB	DAR	DECK	DHI	EBAY	ELY	EPC	F	GM	GRMN	HAIN	HAR	JAH	JBSS	KO	KOF	L	LEXR	LTRE	MCK	MED	MGPI	MIDD	MTEX	MTH	MVL	NAFC	NUS	NVR	NWL	OME	PFGC	PPC	PTRY	REV	RYL	SBUX	SEB	SUP	SWY	TEN	TIVO	TR	TSCO	USNA	VC	WBD	AMZN	ANDE	BG	CHE	CLX	CTB	HSY	JNJ	KTII	NATR	NLS	OATS	OO	POOL	RAH	SAP	SHOO	SPTN	STKL	TAP	TOM	TPX	URI	VFC	WHR	BZH	EL	KMB	MDC	MNST	PHM	PNRA	SENEA	SXT	TRW	BID	COLM	CRI	EXPE	FARM	FDP	FLO	GT	INGR	IPAR	JNY	KCP	MAT	RDEN	SKX	SNMX	VGR	AVP	COKE	CVS	DPZ	GPC	RAI	STMP	SYY	TBL	TUP	ARDNA	AXL	CAA	HLF	JAKK	MO	RCII	WWW	MOD	NTRI	PBH	PRGO	ICON	IMKTA	LEA	LEG	THS	UVV	PAS	WWY	BC	JSDA	RL	SEED	ADY	CROX	FOSL	PEP	PG	SAM	CENTA	IBA	RGS	BARE	FACE	HBI	LANC	SUSS	TSN	UL	WINN	ADM	BWA	HOG	WRC	BGS	ALCO	G	HAS	WBC	ETP	GNTX	HOGS	DAN	SMG	WMK	DPS	HNI	JCI	ATVI	CSKI	DL	CHBT	CZZ	SVM	BRFS	DOLE	LO	CHD	MJN	SPB	TSLA	K	PRMW	TTWO	ETH	SODA	WFM	BTH	CHEF	EA	ZNGA	LKQ	POST	RNDY	BNNY	CG	HSH	PM	BDBD	LFVN	NGVC	WES	WWAV	PF	COTY	CSG	ABEV	ENZY	PII	SFM	ARMK	ESI	KATE	CPG	FGL	SC	GPRO	NHTC	DPLO	SFS	FRPT	VSTO	BETR	BLD	KHC	ENR	NOMD	UAA	MDLZ	RRR	TPB	USFD	ELF	ADNT	TWNK	NBEV	CELH	WOW	MHK	ROKU	APTV	DLPH	CRON	HFFG	KDP	VNE	CPRI	TPR
2007	9			7.977792819419971e-06						8.072162722371217e-06			2.1721507210543694e-06	0.04472228182639161				-0.002179625498498163						-5.2176270666253665e-06	2.1898282416279034e-06	0.02145138397674389		-3.9530999625106866e-07									0.05624315379803461					0.06031624186526792		1.3642197569554202e-06		-0.020866331713975887		-5.286477769789418e-06	-3.5386576847966416e-06	0.003151039339890232				0.0972989708216428					5.539223690986791e-06										0.043745421281145745	1.2070165441433891e-05	-0.026817217650172333			-0.0034921668283104386	0.16576264450005848						-6.085514758081734e-06									0.01170362027002668	-0.2422914932553785							-0.02754596304257173		-0.02249572191105396	-2.820422252563906e-06	-0.0076069028046971635	0.019108720318232082		2.087062681247488e-06		-1.0872337168349476e-05	0.009960844479000983	0.19383592382041137	-0.00948535563011742			0.050397972521183235	0.049220815222344214		-0.06533820068297225			0.06239883654283593	-0.013713915355962721	0.08512686772430167		0.03561632630117578	-0.20577918553223148		4.0460582564836265e-06				-0.03114706238415146					2.523881431778277e-06		-0.49999847632770816	4.334015109658076e-06	0.16869245980051834																																																																																																																	
2007	12			-3.122690650766863e-07			0.1997566732868974	-0.03247036877188239						0.1566394815648613				-0.011765291680903489							-0.025635601493213537	9.092677297273158e-09		4.3530472464665213e-07										1.5743677631153082e-07		-0.03759244219852928		0.12960603310247792				-0.03923864927462515		4.409662737461691e-07	2.1674486088379436e-08			0.05141031324197317		0.2794877479404235					-1.019759588549047e-06	0.4089464536718189							0.04149222590228561	3.994905745502169e-07					0.1531115859597711	6.500086438661334e-07			-0.08749863781828857				2.5314499652176517e-07	-0.0925248234530865	-0.05375338557145827		5.352201516170811e-07												-0.45188353151620336	-0.2260679304539181			2.3235295810486776e-07				3.755569426744825e-07	2.765098190366793e-07				-0.04965542303800616			0.030116857855229547	0.06058783993378138	-0.03738670996156596	-0.29341723820576393	7.777196129798781e-07			-0.10997304950619617	0.04636101074592529	-2.268455823424191e-07										0.027542747315395365	-6.825768305378819e-07	-0.22760275891878023	-2.0310782094667388e-07				0.019317912221629468	0.04176872436392114	1.3999462579443262e-06	2.9935336906272457e-07	0.1303147656947827																																																																																																													
2008	3				2.6270760038650347e-05	0.08385102284135978	0.0749687272522387	-0.04566722983418372				-0.018409883023575584		0.08801602733286051					-1.4243054877938474e-05						0.03730548126261108		0.061566161676054096	0.009094846998283196	-0.022710344710476733	0.047402691817515455								0.023662448046457497	-0.030903639538257723			0.030112164723334646		-1.985102220686787e-05	0.02784667716060277		-0.03507536003564594	0.058236859460991684	0.00932034929296083	-0.0011343330429830218	0.18611445635660312	0.06387026629525996	0.07502687247505722		0.13766802497513536				-1.6086340778423302e-06			-0.07576182329612308							0.02990689244831184	0.10099045352836421	0.22257440363449024						-0.037311680620624926					-0.13556384485093578				0.10248137057230808				0.03417659905400624							-0.11653772535899697	-0.1834929190139095							-2.2095314123988988e-05						-1.5447370465602908e-06	-0.0568749158139187										-0.03576233434803422	0.008007820548354147			0.20251135470826212				-0.04215032889952897					7.201932677099877e-07		-0.5000669034043974	-0.004028773330937029	0.041432393441416436					-0.4725418764480163	0.0728588198669358	-0.014961027356020045																																																																																																										
2008	6					0.14001587156838197						-0.3082776844531153														9.947309033459467e-08		-1.1273843929434923e-06	-0.020043306999247102						0.0600364589207098			-1.102465203891995e-06				0.08501031839844712								-0.06916794596501535	0.2101867754177053	0.059522403629675605	0.1315505660935227				-0.03939386639002748		-5.833423221137249e-07	0.3870030793021777							3.5950555907272827e-07		0.06396475987191881		0.23144986406051699		-1.0820045878531652e-06	-0.0513293659424261			-0.10763587155668394				-0.12212634438672003			2.2679025750171952e-07					-3.810016321630406e-07				0.0818989151569682									-1.7708754617872132e-06										-0.3371949771026508					1.439440458433734e-07					-0.2747536351290713	4.728376666109695e-07	9.120831735763445e-08	0.1063090691007843	-2.776662096302892e-07	-5.36862503402322e-07			5.061741475787691e-08				-0.47764203249141374	-1.8923219109669118e-08			-3.534850355838066e-07	-5.53678314434817e-09				0.08607984568663207	1.369642730734832e-07	3.6662922533492354e-07		-8.144834894782893e-07	2.1858115726768002e-07	-2.9129097220222815e-07	1.9317357977180823e-07	8.976422492443714e-07	-0.07811003876001779	0.05976683246564208	0.18288412487532912																																																																																																		
2008	9						0.02992027658251361			-0.0226167715006789				-6.634147643082378e-07			-5.318973453222321e-07	1.3638344005947518e-07							0.024817886664448216			0.0036673473079141534				-1.3650729279361165e-06						1.487462093883633e-07	-0.00777664018448337						4.620866178249968e-07	-1.48674854952948e-07						0.021514360543722227										1.0680716037528768e-06					-9.339172353654016e-08			0.01844599817736989	0.20102974772155213		-8.825537553500789e-07									-1.9816947274680438e-07				0.04636141829655483			-1.1572239520391553e-06	0.0001336698614282313		-1.472404872066298e-07					-7.210336129330753e-07	-0.011577584451113116	-8.174696395121796e-07		8.255208860362363e-07	-7.816605458649e-07							-7.981977868753524e-07			-0.023183151174476464					1.1054147549329837e-07		5.790095203543614e-07				-3.8206605206168984e-07	-2.296224405052025e-06	0.008825550626437464	3.596031726047202e-07				-1.8659959961372251e-06							-6.341585349063368e-07	-0.05933383162829016	3.439103961377956e-07					-0.33976881240864415	4.9491969815852e-06			-1.8920228751214545e-06	0.49488308489881855		-1.5006425090961584e-06			-1.4976203809088398e-07	-3.9155604129383735e-07	0.059269594515121544	-0.030700017891197237	-0.41390562208349163																																																																																														
2008	12					0.09703492134683898	-8.133682314521955e-07	-0.019968786244259573		-0.03016977081956021											-0.051247664065790566				0.024085181905287266	-0.02374810512906109						-1.8620138782538152e-06						0.007093012308543114					1.1638974708439355e-06		2.0544610670007632e-07	0.00874283069357854		0.07103356404312999	0.023035866408779006			0.03512739194891583	0.10141049355229959	-1.4167250326578578e-06	0.052291083434928574							-3.8043663535532943e-07						0.04508585034676338		0.026982793437242577	0.16042279909920323		-0.031830380048637044	0.02062700890322136						-3.459446144312624e-06			0.06951679442150527			0.026380500536733922						0.019828252541455406	0.20978688699465126	-0.003581213866756872		-1.8450349369943534e-06		-0.09134702037509773											-0.1697185430211326			-0.04440502540931364						0.033978607529280246					1.4071258272654192e-07	0.12424550977061352		-0.048259075140101235									-0.025179604772586805		3.7579380781837413e-06	-0.051232852544542774	-0.028524987670338627				0.10477532042295316	1.0251780512446282e-06	2.266653460499327e-07		-0.19805547848819052	-0.4442101408062741	-2.300131456185084e-06					-1.0870857559639117e-06					9.092407038655574e-08																																																																																													
2009	3					0.07274056936665466	0.150382891285958	-0.07126701040483929									-0.06868983301164462						-9.683968554819513e-06			-0.10281106127099808		-0.020849768619478435	2.5799808755456854e-06						0.029241951779308047			4.71636521145972e-05				0.04889551138085171		7.203344506851502e-05	-0.0039866193691820324			-0.011162612318820094			0.08180083236762833	0.05895142836318523		0.08086826604683169			-0.08767692536628241		0.16018198643491247	0.4456775381958044		-3.078267511234189e-05							0.0750207567765728		9.126563527050451e-05		1.7636364878534337e-05				-0.13129349636634746					-0.07443752556308557		6.126013071381792e-05		-0.09500279820311774			2.2265503596649036e-05				0.1723517061769082							3.731844139706758e-05							-0.059912169583322405						0.0854374838856064		-0.17245816789821977							-0.11406387688428948	-0.038297489943895285	-4.8674585387227644e-08	0.1714092395576053	-1.4642639515625809e-05		-0.14977775397061388						-0.28065688794926325										-0.0324640508963468	-2.734690761105549e-05			-2.368427762666188e-05			-0.26719507380752133		0.1461541773111455							2.218054215553023e-07	-9.347338440236733e-06	0.0027822408435159056	-0.00011951038196035511																																																																																									
2009	6		-1.3283345227716802e-05	-1.6227427457036693e-06			0.023703209478614342																-4.614282269465487e-06				0.020969301958695778	2.2186058799428756e-06	1.0336313750935233e-05		0.005437557696587843							0.0002548346267096456					-0.006480805907083145	-1.1444857532694411e-05	7.670861572490963e-06			0.016400878211209155	0.004306538151905938		-2.8335597844330207e-06	-3.933794175072534e-06		-1.1069819976681254e-05			4.833679146186507e-06		1.5404939492372428e-05															4.261088298676303e-06			6.945338799183657e-06					3.036602646058904e-06		-1.7893945761896474e-05	-2.0156736156833285e-05											3.3075337014850143e-06				4.893119789869171e-07	4.97471708911834e-06	6.225758425765329e-06			-1.298063805036747e-05		-3.1436114791667233e-06								5.764645227930059e-06		5.314841238248893e-06	1.390482640775597e-06				6.7261751747102905e-06													-1.7466088967296954e-06		-0.02729584396582819	-1.5282145585306438e-05	-0.019544199250636544					-7.688799783623082e-06					4.510673565333974e-06	-1.5029351221167097e-05	-0.022552371359302974			0.01988265553390477				-4.7830135116346125e-06	-0.024897797862110767	0.21970478770015986	-1.8872914054079705e-05			-0.22398181557166422	-8.336853059183562e-06	0.014178564365003353																																																																																						
2009	9	-0.03194182803083357		-1.8565970306798074e-05																						2.8382858291530505e-06									-2.8922666328099165e-05			-1.493694107643678e-05						-0.007393612619417129	4.4474432589083285e-06	-1.7621537623272845e-05					0.11740959024271491		-7.286674048669917e-06		-4.358306524809421e-05	1.2449304183945524e-05		-6.359562945421231e-05													-2.3845125650538656e-05						3.994908048229556e-06						-4.11792820751359e-05		-8.9049571088649e-05	6.14034651867273e-06	-1.184971260851122e-05			0.04197201767099343	-0.3339427240337311	-4.779233877239613e-05		-1.53833042216089e-05			-4.344185232183473e-06								-4.629997082391929e-05									-3.2645387681095515e-05	9.162525354711415e-07		0.05744373543715175					-2.75981338113768e-05	-0.0505894374837946	-0.22665213929602018		0.06164040514739872									0.045331973301214704		0.045046152981582446		0.013565201890992909						0.28797722874448		8.405242133690346e-06		8.801614839177264e-06	-4.852975449201423e-07	-5.4220882456569344e-05			-0.28421927613370573	-2.6687595869298196e-05				0.24552300875795988	-0.06631412154059806	0.21233146959389962		-4.130461592444032e-06			-0.45775686778934194	0.3313033592095004	-4.176808713723456e-05	-3.725151657492906e-05																																																																																			
2009	12							-0.005532381685135174		-0.055969507670637436						2.5530074422363625e-07		-1.9450610941328178e-07							0.0217469443692447	0.020274475224959503			-1.527378350199414e-07									5.5350271451390296e-08	4.7330891114296467e-07		-7.089082494148687e-08				0.010823178375717264	3.3730311915438813e-07								-4.0724800090320524e-08			0.023947245008145938																0.0036798982669772515				-5.23468214874463e-08			-0.0027316357849480064						0.028813635029411415			3.2077194840427634e-07							-1.0197442137729429e-07	0.00878821130599934	-0.11145620663895553		-2.6249197444834264e-08	-1.9904764690811372e-07	-5.897152001016507e-08					-0.0027774313458502806			-0.007502679792973667							0.0012876645922943217			-0.002236477763385407		0.001395546506435614		3.386647507327033e-07	2.3360518947908644e-07	3.539694688640194e-07								-7.087093019035466e-08	-3.718811974755516e-07			0.04530966610327706	0.03033346734378636					0.059964498677320614				-0.44017951315443576			2.571939944261733e-07									7.599604008734685e-07	3.8697029923853745e-08	-1.1729824757404388e-07	-0.10526020347276827	4.2339264067618797e-07		-2.0052819851767473e-07	4.5075848962467395e-08			0.47727840633325064	1.625934419248792e-08	9.849520589949117e-08																																																																																
2010	3						0.08328508811803265					9.011842933301285e-07											-4.048685134922995e-08		0.010444931245097705	5.64782235173953e-07											-0.018482821933067252		-1.3286028129824575e-06				-0.0009819030686760229	1.9478381903620562e-06	4.5417658359506214e-07						0.08203528762318738			2.1392675078538448e-06			9.434909423604027e-08	2.2562777672531547e-06	-3.894614945572768e-06														0.0023964016616055636			1.3297564351928548e-06	7.003585944277178e-07							2.510098196491221e-06	2.707351117950649e-06	6.686136369731962e-07				0.031229177239369788			3.230281670882016e-07				4.2027205275727114e-07			1.878997137213758e-06	0.005525649731162333				-3.165019720956807e-07		3.5083115300674717e-06			2.3740080070619977e-06				1.10139598044211e-06	3.056222596841626e-07		5.118266464297017e-07			3.4840498986605095e-06		-1.044206466768228e-06						-0.13239345081549617						7.357659138676395e-07	-6.571001027480694e-08		0.013183542207480926		0.0015393786267038686							-0.07782049660484974		-0.32903353248470124	1.422987824214736e-07	1.6143519115474237e-06	-0.0206543889665522			3.255244883100887e-06	1.0482041760279115e-06												0.12551852547670667		3.438987397252051e-06				1.3821221048152646e-06	0.22417519613055423																																																																														
2010	6					0.06176787409977127						6.320639451960027e-06														3.495356731969616e-06													-1.2583938823725515e-05			0.03764550394649947			-7.994208883332625e-08				0.01680170117057659			0.07405962689896664		0.02345337186161936			2.73668725504588e-06					-0.014891024328999579							0.02423938472611552		0.04692776376765555		1.6237231882133768e-05				-9.265680041420306e-07						0.021272550044744182			1.2133132374661353e-06							0.08038371587975436				4.0347649624388085e-07			-1.007359447640994e-05		-0.06696449365754936								2.0337317614627182e-07					-7.474852932765777e-07		4.920067395851862e-06			1.1578234799361026e-06		-8.847985305144124e-07	-0.010920872937844736					-0.13286712403003342		0.13880004495005385				-4.199432307570715e-07	0.010584256412249363		4.587852615436349e-06	0.01021464455973148						0.035676952677273006				-0.42293270068299293						1.5460274365001453e-06	2.107192816225386e-06		-0.16870350646989657			-0.4205949535710622	0.08104714012373516	0.04576411091882727	-0.043554467244327544	0.3321416784312974		-1.0649511922684552e-06	0.07581333448497216	0.011994206227820036			-0.016800086116420244		1.6525823087794938e-06	-0.005639126712297181	0.17527103285774356																																																																													
