year	month	DECK	EPC	LEXR	LTRE	MED	MTEX	PPC	REV	SWY	USNA	DAR	NATR	SEB	SPTN	TAP	TIVO	MNST	PTRY	TPX	TRW	CRI	EXPE	SNMX	DPZ	NLS	RDEN	TSCO	HLF	KCP	OATS	NTRI	PBH	ANDE	CCU	LEA	SUP	GT	ICON	MOD	SEED	ADY	JBSS	JSDA	THS	VC	BG	BZH	CROX	GRMN	PAS	CENTA	WBD	FACE	SUSS	WINN	HOG	BARE	BGS	IBA	ALCO	G	ETP	TEN	ADM	DAN	FDP	MGPI	SMG	HOGS	ATVI	STMP	DL	CHBT	BRFS	CZZ	SVM	AMZN	CSKI	DOLE	LO	WRC	AXL	SENEA	COKE	JNJ	PRMW	TTWO	SODA	TSLA	BTH	CHEF	EA	GM	ZNGA	RNDY	BC	CG	SYY	LFVN	NGVC	WWAV	BDBD	LKQ	WFM	ENZY	POST	SFM	ESI	CPG	ABEV	CAA	FGL	GPRO	SC	NHTC	COTY	DPLO	FRPT	SFS	VSTO	KATE	BETR	BLD	ENR	NOMD	RRR	TPB	UAA	ADNT	TWNK	ELF	NBEV	WOW	CELH	ROKU	DLPH	CRON	HFFG	USFD	VNE	KHC	WMK
2015	9												-0.04970877253011934																																	-0.0062733546389522835																		0.04855395729785408																										0.17333715459797552				-0.029882959201118917						-0.17329996048016225	0.09148939759382718					-1.8189624914481332e-05			-2.8522153838456414e-05	-0.05415032306918597																																	
2015	12								0.08525559774882822																																																							0.056448594326693594																																										9.508254145737171e-06			-1.7642895026301633e-05	-0.21916969995939686	4.757216509825202e-05	-1.9143990471084103e-05	-8.84551417354788e-06	2.2647009197104956e-06	0.07738796726927337																												
2016	3																									0.11673539457963836																																						0.019443287270072267				0.06855895012472786															0.06867989198026427																										-1.813863053927871e-06	-0.06953806144100173	-0.2038992896955981			6.5830837168564675e-06	8.517521531666493e-06	4.627784799536867e-07																											
2016	6																							-0.024773128650905352	0.2628389123773436																																																																											-3.61857899220562e-08	-0.04551487955524811	0.1190968706725265				-0.08258921387171088				-1.6009206956800437e-07		-0.31711681560890376					0.0802431609383973	0.007815125073988785																									
2016	9																																																																																						0.21938725173651694													-1.3707312723596799e-05						-0.13454588485587968				-0.03361981139406314				1.3430981058319478e-06			0.16216575727499496	1.9327643106217458e-06	0.1263736583872699	-0.3888513285441542	0.04911716634777502																						
2016	12												0.24127097105805514																																																			-1.0681631315370068e-06																																				-0.00449565469878292	-0.15357783936392846					-0.40841166907370186								0.15406225301194812	1.018477977944206e-05			0.17493356029283252	0.04782878241300087			-0.051621973125008144																					
2017	3								0.04673504413700382															-0.012730076152932538																																												0.13056709143440712																								0.17665361354983256								0.05175455250229844										0.2205528038374858		-0.20990738560866218		-0.15367826995178976	-0.1794875745213184								-0.07040724504381429																				
2017	6																							-0.020583926726997766																																								-2.1038011071797768e-06																									0.15329967429727206	0.08326188497583296																								-0.039579618303578215		1.552462163907513e-05			7.956249077113716e-06		-0.420444504552258		-0.04955044098785798	0.29358343353415783																			
2017	9								-0.09281256746349431																																																							-0.006282531238889669		0.09323053834020993																							0.2287399768527869											-0.21155595684259423															0.034363042084329595			-0.43959900485319986	0.18367205620222393						0.21024066224041402	1.1878487519391353e-06																	
2017	12																																																																	7.096755459216975e-06																																																		-3.0044810156111716e-06		-3.4257709773388956e-07	-4.6421918700840694e-06		-0.04361159139881855			0.12866840197082835	9.948645591607199e-06		4.377581725818272e-06	3.083641797934276e-06	-0.08509012346140674														
2018	3																																																															-0.06116630669063465																										0.14572416368410807										-0.19478361880850428	-0.19488092297287474							-0.10382995659547578								0.007757693978228214					0.06111652415393091					0.3401118452196205	-2.5567125631333862e-05		-4.760122404588089e-06														
2018	6																																																																																						0.03052021052197177																							-0.3048917094681849								-0.029166264100705535	3.090404037030882e-06					-1.7423941356182812e-05	0.20159763431503377	0.17750743648600953	0.17312597238434935			-0.24874180320204212	2.9696757416732227e-05												
2018	9																																															0.008701981034815306																		0.013880482857591248		0.017557134918315127																																																1.5587150504134378e-05					-0.031376737547188206						0.2641443186151817	0.07344829916229509			5.1341783883411634e-05	-0.3464246772710164	-9.186280817843102e-06										
2018	12																																															-0.23944978314734058																-0.10704926950458188		-0.06815930867390106																								1.0507551024177227e-05			0.15939944239119136																							0.05752813141994819									9.773459910657504e-06				0.4655625020564631				1.5865482107856582e-06	-0.2678555866533037									
2019	3								4.282841347996008e-07																																																											0.014205226855079361																																														9.860146307240666e-08										0.02260237771783374					-2.684545022976997e-07		0.03677478281177215		5.34780649255182e-08	-0.23881989758211652	-0.018862570728393813	0.18410014425238377							
2019	6																																																															1.8567212268317616e-08												0.07582236144925121																						0.026668960424156084			-0.13642653804395574								-0.14746616659215706		-6.704021223522475e-06													0.34190721851119293									0.06388954419314553	-4.435175457211794e-06			-0.22438349900943094						
2019	9																																																															-2.0171924011670457e-06																																													-0.2132847862535001	-0.17728913264270124											-0.03363670774205245							0.2242478558849843		-0.03864274094763001		-0.028291087754875738		7.28944227379318e-06		0.13582170963642612		0.13107608998809908					
2019	12																																																																																																			0.06838881815465994																			0.16180707479077533		-0.15015622011578575									-0.03923600865785746	-3.1348432312804876e-06	-2.4038250415679227e-05	-7.906003605708895e-07			0.10619134924600333	-0.21439385608819442		0.06742258739125545				
2020	3																																																															1.5676650763007914e-07																										0.040565471367711554																			-0.005598230002547427															0.04053224890195023							1.4088336336907772e-07		-7.239457647457351e-08			1.6776960606582227e-07			0.04535366150945774	0.17458846005940687	-0.2954423203523555		
2020	6																																																																	0.020124260331279537		0.05866370959507357																						4.078037492623107e-06																										4.04434878412491e-06					-0.19173874036614919							0.08989485574898218								0.30493881565605435			0.112219405642104			-0.39411436847044007	4.164982753072242e-06
2020	9																																																																																											-0.16641014973454202			0.1377961315885263						-0.0393590631141343															-0.062144379381685634	4.1980126320903303e-05							0.20695822434790195								0.07495592554276088	-0.06928249399256285			0.18403721415134472					-0.2666017518220189		
